product_name,countries_en,serving_size,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g
Pampas Puff Pastry,Australia,42 g,1380,0,16.3,7.9,0,0,0,0,39.3,1,0,5.5,0.9144,0.36,0,0,0,0,0,0
Passionfriuit Pulp,Australia,42g,437,0,0.1,0.1,0,0,0,0,25.1,18.7,0,0.4,0.0508,0.02,0,0,0,0,0,0
Mr Kipling 6 Cherry Bakewells,Australia,42g,1780,0,17.1,7.1,0,0,0,0,63.1,38.3,0,3.7,0.3556,0.14,0,0,0,0,0,0
Chinese Hot and Sour Instant Noodle Soup,Australia,440g,300,0,0.1,0.1,0,0,0,0,15.5,4.6,0,1.6,1.4478,0.57,0,0,0,0,0,0
Australian Bush Foods Breakfast,Australia,45 g,1540,0,2.8,0.4,0,0,0,0,73.4,20.6,6.9,8.1,0.3556,0.14,0.255,0,0,0.0067,0,0
Bellis Apricot Bar,Australia,45g,738,0,4.5,3.6,0,0,0,0,83.5,59.4,4.2,1.6,0.2286,0.09,0,0,0,0,0,0
Streets Blue Ribbon Classic Vanilla,Australia,45g,787,0,7.1,5.1,0,0,0,0,27.3,19,0,3.4,0.127,0.05,0,0,0,0,0,0
4 Custard Tarts,Australia,45g,1340,0,12.5,5.8,5.1,1.4,0,0.3,45.6,14.7,0,5.2,0,0,0,0,0,0,0,0
Valcom Water Chestnut Slices,Australia,45g (drained),134,0,0.1,0.1,0,0,0,0,5.8,1.9,0,0.8,0.01778,0.007,0,0,0,0,0,0
Cherry Ripe Special Edition Double Dipped,Australia,47g 1 bar,2070,0,26.5,19.8,0,0,0,0,55.7,49.7,0,4.6,0.04826,0.019,0,0,0,0,0,0
Spinach Super Thin Stone Baked Pizza,Australia,49g (Approx 1 slice),794,0,6.4,2.5,0,0,0,0,23.6,5.2,0,8,0.6858,0.27,0,0,0,0,0,0
